Rank	Unidades	Ordenes	Ingreso S/	Precio Prom S/	SKU ERP	Vinculado	ML Item ID	Nombre
1	19	14	2142.50	112.76	(sin vincular)	NO	MPE952656848	Berberine Hcl 500.000 Mcg | 60 Vcaps | Berberina Carlyle!! Sabor Sin Sabor
2	14	10	1793.04	128.07	(sin vincular)	NO	MPE1009583160	Carlyle Vitamina K2 + D3 300 Cápsulas Blandas - Sin Sabor
3	13	13	1465.70	112.75	(sin vincular)	NO	MPE1009531128	Vitamina B12 5000 Mcg Metilcobalamina Sublingual Sabor Bayas Frutos Rojos
4	11	11	1512.00	137.45	(sin vincular)	NO	MPE952643780	Hongo Melena De Leon Horbaach Lions Mane 4200mg 120 Caps Bio Sabor Neutro
5	11	11	1594.00	144.91	(sin vincular)	NO	MPE952916776	Glicinato De Magnesio Vegano Double Wood 400mg 180 Caps Nd
6	11	10	2013.00	183.00	(sin vincular)	NO	MPE952695846	Omega 3 Fish Oil Premium Triple Fuerza Epa Dha Capsulas Blan Sabor Sin Sabor
7	7	7	1449.00	207.00	(sin vincular)	NO	MPE964655224	Nordic Naturals, Arctic-d Cod Liver Oil Limón, 237 Ml Sabor Limón
8	7	6	1612.00	230.29	(sin vincular)	NO	MPE953267656	Life Extension Super Ubiquinol Coq10 100mg 60 Ct Sabor Coenzimaq
9	6	6	1310.50	218.42	(sin vincular)	NO	MPE960521798	Micro Ingredients Complejo B Metilado Puro 240 Cápsulas Sin Sabor
10	5	4	543.00	108.60	(sin vincular)	NO	MPE981699352	Suplemento De Vitamina D-3 Y K-2 De Now Foods En Bote, 120 Cápsulas Sin Sabor
11	5	5	1123.00	224.60	(sin vincular)	NO	MPE960690698	Omega 3 Limon Nordic Naturals Sabor Limón 237ml
12	5	5	1192.20	238.44	(sin vincular)	NO	MPE1009557126	Nordic Naturals Ultimate Omega Jr., Fresa, 120 Minicápsulas, Sabor Sin Sabor Frutilla
13	4	4	586.40	146.60	(sin vincular)	NO	MPE1009596112	Bisglicinato De Magnesio 665 Mg Carlyle 250 Capsulas Sabor Neutro
14	4	4	482.50	120.63	(sin vincular)	NO	MPE1009596118	Luteína Y Zeaxantina 40 Mg Carlyle 180 Capsulas Blandas Sabor Neutro
15	4	4	363.90	90.97	(sin vincular)	NO	MPE1009622124	Melatonina 12mg 300 Tab Berry Maxima Potencia Ayuda A Dormir Bayas
16	4	3	649.00	162.25	(sin vincular)	NO	MPE953163804	Suplemento Wellness Labsrx Nad 1500 Mg - Resveratrol Sin Sabor
17	3	3	630.00	210.00	(sin vincular)	NO	MPE964850260	Melatonina Natrol 10mg 190 Gomitas Sabor Fresa Frutos Rojos Frutos Rojos
18	3	3	468.50	156.17	(sin vincular)	NO	MPE964564186	Ashwagandha 3000mg Carlyle De 300 Cápsulas Sin Sabor
19	3	3	355.50	118.50	(sin vincular)	NO	MPE981712322	Suplemento Liposomal De Vitamina C Carlyle, 90 Cápsulas Sin Sabor
20	3	3	203.40	67.80	(sin vincular)	NO	MPE1019100210	Skin1004 Hyalu-cica Water-fit Sun Serum Spf50+ Protector Solar 50ml
21	3	3	417.00	139.00	(sin vincular)	NO	MPE964694176	Nordic Naturals Baby's Dha Omega 3 Sabor N/a
22	3	3	175.20	58.40	(sin vincular)	NO	MPE1019086954	Tocobo Cotton Sun Stick Spf50+ Protector Solar
23	2	2	296.00	148.00	(sin vincular)	NO	MPE1018606022	Carlyle Myo-inositol & D-chiro Inositol 2060 Mg Vitamina B8 150 Capsulas Sin Sabor
24	2	2	233.40	116.70	(sin vincular)	NO	MPE1009648112	Vitamina B12 5000 Mcg Metilcobalamina Sublingual Sabor Bayas Bayas
25	2	2	460.00	230.00	(sin vincular)	NO	MPE1009583150	Complejo De Magnesio Triple 400 Mg Micro Ingredients 300 Cap Sin Sabor
26	2	2	484.00	242.00	(sin vincular)	NO	MPE961340010	Suplemento No Aplica Microingredientes Sabor Omega 3 No Aplica 240 Unidades Sin Sabor
27	2	2	117.85	58.92	(sin vincular)	NO	MPE1022505412	Skin1004 Madagascar Centella Limpiador De Espuma 125 Ml Momento De Aplicación Día/noche Tipo De Piel Todo Tipo De Piel
28	2	2	114.00	57.00	(sin vincular)	NO	MPE1019086962	Skin1004 Madagascar Centella Pore Minimizing Quick Clay Stick Mask 27g Reduce Poros Y El Sebo Normal
29	2	2	137.00	68.50	(sin vincular)	NO	MPE1018917930	Purito Mighty Bamboo Panthenol Cream 100 Ml Crema Facial Momento De Aplicación Día/noche Tipo De Piel Todo Tipo De Piel
30	2	2	332.00	166.00	(sin vincular)	NO	MPE1009544138	Suplemento, , Suplemento De Vitamina D3, K2, 5000 Ui
31	2	2	525.00	262.50	(sin vincular)	NO	MPE953267654	Glicinato De Magnesio 400 Mg Solaray 275 Capsulas Veganas Sabor Neutro
32	1	1	158.00	158.00	(sin vincular)	NO	MPE1052444022	Berberina Berberine + Canela Ceylan 1500mg 240 Capsulas Sabor Sin Sabor
33	1	1	275.00	275.00	(sin vincular)	NO	MPE1019086586	Aceite De Pescado Triple Strength Omega 3 3600 Mg 180 Cápsul Limón
34	1	1	125.50	125.50	(sin vincular)	NO	MPE1048791144	Magnesium Glycinate 500 Mg 240 Capsulas Superior Absorption - Naturebell Sin Sabor
35	1	1	130.80	130.80	(sin vincular)	NO	MPE1048206198	Magnesio Glicinato 500mg 240 Capsulas Naturebell Sin Sabor
36	1	1	69.90	69.90	(sin vincular)	NO	MPE1019086736	Skin 1004 - Madagascar Centella Air-fit Suncream Plus
37	1	1	123.00	123.00	(sin vincular)	NO	MPE1009518134	Complejo B Bioactivo 60 Cápsulas, Life Extension Americano Sabor Sin Sabor
38	1	1	83.40	83.40	(sin vincular)	NO	MPE1018606704	Skin 1004 - Madagascar Centella Tea-trica Spot Cream Momento De Aplicación Día/noche Tipo De Piel Grasa
39	1	1	68.50	68.50	(sin vincular)	NO	MPE1022271782	Seoul 1988 Serum Liposoma Retinal 2% + Black Ginseng Premium Día/noche Todo Tipo De Piel
40	1	1	209.00	209.00	(sin vincular)	NO	MPE1009596124	Suplemento Naturebell De Vitamina C Liposomal, 2000 Mg, 240 Chocolate
41	1	1	91.00	91.00	(sin vincular)	NO	MPE952670018	Ampollas Skin1004 Madagascar Centella Ampoule 100ml Skin1004
42	1	1	122.80	122.80	(sin vincular)	NO	MPE1018918568	Medicube Salmon Dna Pdrn Crema De Cápsula De Colágeno Rosa Todo Tipo De Piel Día Noche
43	1	1	83.40	83.40	(sin vincular)	NO	MPE1018918516	Anua Niacinamida 10% + Txa 4%: Reduce Manchas, Controla Brillos Y Unifica El Tono De Tu Piel Todo Tipo De Piel Día/noche
44	1	1	196.00	196.00	(sin vincular)	NO	MPE1009648122	Magnesio Ultra Espectro Completo 500mg Americano 300caps Sabor Sin Sabor
45	1	1	234.00	234.00	(sin vincular)	NO	MPE1009531138	Ultimate Omega Teen Nordic Naturals 1120mg 60caps Fresa Strawberry
46	1	1	220.00	220.00	(sin vincular)	NO	MPE1009557116	Magnesio Glicinato Apoyo Al Metabolismo Pure Encapsulations Sabor Sin Sabor
47	1	1	202.00	202.00	(sin vincular)	NO	MPE1018606008	Deal Supplement Myo & D-chiro Inositol Folato Vitamina D Vitex Cápsulas Veganas Neutro
48	1	1	88.05	88.05	(sin vincular)	NO	MPE1019086696	Anua Suero Calmante De Enrojecimiento De Ácido Azelaico 10 Todo Tipo De Piel Día/noche
49	1	1	70.90	70.90	(sin vincular)	NO	MPE1018917904	Skin 1004 - Madagascar Centella Air-fit Suncream Plus
50	1	1	216.00	216.00	(sin vincular)	NO	MPE1009622142	Dha Nordic Naturals Children 237 Ml Frutilla Líquido De Eeuu
51	1	1	218.00	218.00	(sin vincular)	NO	MPE981959396	Micro Ingredients Vitamina D3 K2 10000 Iu 200 Mcg Apoyo Óseo Sin Sabor
52	1	1	139.00	139.00	(sin vincular)	NO	MPE982011330	Multivitamínico Niños (300 Gomitas Premium) Hecho En Usa Cherry Berry
53	1	1	237.00	237.00	(sin vincular)	NO	MPE960716720	Micro Ingredients Complejo B Metilado Puro 240 Cápsulas Sin Sabor
54	1	1	157.00	157.00	(sin vincular)	NO	MPE952747864	Glicinato De Magnesio Vegano Double Wood 400mg 180 Caps
